ema_period,lookback_bars,min_close_ratio,left_bars,right_bars,rr_target,total_periods,positive_periods,positive_ratio,total_return_sum,total_trades_sum,avg_quarter_return,median_quarter_return,min_quarter_return,max_quarter_drawdown_worst,avg_profit_factor,median_profit_factor,min_profit_factor,min_trades_per_period,avg_trades_per_period,long_trades_total,short_trades_total,plateau_score
60,28,0.75,4,3,2.0,8,8,1.0,31.9903100000003,347,3.9987887500000374,4.392255000000089,1.2374700000000072,-2.025284225107184,1.969967419371371,1.9618126449432107,1.3325915354409992,35,43.375,166,181,0.5616392737606737
50,24,0.75,3,3,2.4,8,8,1.0,32.27889600000022,320,4.034862000000028,4.645578000000095,1.0938279999999745,-2.1471255794843733,2.0002837283811163,2.1852661595685814,1.2712719048067693,30,40.0,163,157,0.5611752947139056
60,28,0.75,3,3,2.2,8,8,1.0,31.46617400000038,332,3.9332717500000474,4.620993000000073,1.3071520000000225,-1.6664510580235357,1.946038433741261,1.935590804400603,1.351319782083429,33,41.5,159,173,0.5610206101802839
50,28,0.75,3,3,2.4,8,8,1.0,31.820304000000263,335,3.977538000000033,4.071035000000034,1.6954879999999894,-1.8733662873187678,1.8845045974265529,1.9637599262994514,1.4155322673934025,29,41.875,169,166,0.5608058291304708
60,28,0.75,4,3,2.4,8,8,1.0,32.65166200000021,347,4.081457750000026,3.940857000000042,1.253006000000001,-1.938361551942466,1.906626607227318,1.8274074777557348,1.286031981555247,35,43.375,166,181,0.5595245343638643
55,28,0.75,4,3,2.2,8,8,1.0,31.26465800000031,349,3.9080822500000387,3.9181310000001024,1.7808080000000004,-1.99727467201726,1.8692513728640745,1.8644611676976073,1.454554457972791,33,43.625,172,177,0.5589008411020302
50,24,0.8,4,3,2.2,8,8,1.0,26.12448400000005,228,3.265560500000006,3.538484000000086,0.979163999999999,-1.5542166891593858,2.3511033343035708,2.4817293977633055,1.38038490524991,19,28.5,113,115,0.5579662944793782
55,24,0.75,4,3,2.0,8,8,1.0,30.43956000000032,338,3.80494500000004,4.312205000000091,1.4620100000000136,-1.9226229818906437,1.9606277354095056,2.0998623647414005,1.3731835504266452,34,42.25,170,168,0.557493963878089
50,28,0.75,3,3,2.2,8,8,1.0,31.463384000000282,335,3.9329230000000353,3.8630920000000457,1.1841739999999934,-1.80361379354324,1.9334730280438701,1.9776512225283773,1.2902188085131379,29,41.875,169,166,0.5572520247750039
60,24,0.75,4,3,2.2,8,8,1.0,31.877552000000442,335,3.9846940000000552,4.3859520000000485,1.0138119999999917,-1.9692275042072664,1.9249176645112354,2.022394284511609,1.2716800120054428,35,41.875,162,173,0.5568077661847448
50,20,0.75,4,3,2.2,8,8,1.0,31.436950000000042,321,3.9296187500000053,4.3180540000000605,0.5005359999999737,-1.969328507318249,2.055241697605034,2.1746429191541403,1.1244204487265508,30,40.125,164,157,0.5557808227927226
55,24,0.8,4,3,2.0,8,8,1.0,22.942800000000155,235,2.8678500000000193,2.621730000000033,1.6878399999999516,-1.7200533290378028,2.2794308366699605,2.006310658388796,1.5920135644831994,20,29.375,120,115,0.5550873177676376
50,24,0.75,3,3,2.0,8,8,1.0,29.861380000000203,321,3.7326725000000254,3.707415000000025,0.8324999999999916,-1.7613075379361383,2.0578529906917407,1.9363405617670308,1.2204912518605908,30,40.125,164,157,0.5548859369193307
50,24,0.75,4,4,2.2,8,8,1.0,27.969884000000043,274,3.4962355000000054,3.418496000000093,1.0475859999999892,-1.7619028842321613,2.114964572114866,2.126205504698396,1.3003030016368369,28,34.25,153,121,0.5538378992500562
60,28,0.75,3,3,2.4,8,8,1.0,31.19787600000021,332,3.8997345000000263,3.9746360000000758,1.1158059999999859,-1.9426441141685729,1.9114330222000189,1.8549901977138572,1.2547124285208804,33,41.5,159,173,0.5530389626799941
50,20,0.8,4,3,2.2,8,8,1.0,27.39599200000007,259,3.424499000000009,3.484484000000032,0.7348640000000017,-2.0458433068799824,2.190037773157223,2.1884595437087464,1.2607343069215602,23,32.375,124,135,0.5524370144003239
55,24,0.75,4,3,2.4,8,8,1.0,31.371290000000204,338,3.9214112500000256,4.58187800000005,1.2690819999999992,-2.407717020481679,1.8986833272155308,2.0509679481560785,1.2702065914225042,34,42.25,170,168,0.551346182415269
55,24,0.75,3,3,2.2,8,8,1.0,30.633614000000307,325,3.8292017500000384,4.523821000000094,0.8848519999999693,-2.011623302188872,1.9548270731556854,2.1077934246261014,1.2119796944586154,32,40.625,164,161,0.5510384774251857
50,24,0.75,4,4,2.0,8,8,1.0,27.246679999999948,274,3.4058349999999935,3.438675000000002,0.7007200000000102,-1.614522241379961,2.1695296550020124,2.1842200380300882,1.2049248406153201,28,34.25,153,121,0.5507759151678134
60,28,0.75,3,3,2.0,8,8,1.0,29.450910000000263,332,3.681363750000033,4.2125550000000285,0.8155299999999865,-1.6674474080941268,1.9403733781753805,1.8613680462843374,1.2191878388148358,33,41.5,159,173,0.5478898579208928
50,28,0.75,3,3,2.0,8,8,1.0,29.601390000000237,335,3.7001737500000296,3.663695,0.9468799999999833,-1.8118257455868179,1.925991021683709,1.8467495092756774,1.2385725155834966,29,41.875,169,166,0.5477885354795922
55,28,0.75,4,3,2.0,8,8,1.0,29.12003000000032,349,3.64000375000004,3.6957250000000053,1.4986000000000166,-2.0334691144379398,1.8535505496855817,1.8489318111142703,1.3937094757195785,33,43.625,172,177,0.5474586734408737
55,20,0.8,4,3,2.2,8,8,1.0,25.74395000000027,267,3.217993750000034,3.3643390000000384,1.3247879999999546,-2.0458433068799824,2.0554685792429286,2.0683594988574026,1.4511022276098196,23,33.375,134,133,0.5471281140321403
55,24,0.75,3,3,2.4,8,8,1.0,30.288220000000265,325,3.786027500000033,4.57667799999999,1.1318820000000063,-2.539935669652307,1.9112508244022446,2.113547352625357,1.2409946537044,32,40.625,164,161,0.5460834740200277
55,24,0.8,3,3,2.2,8,8,1.0,23.00408800000018,224,2.8755110000000226,2.67944300000007,1.8564499999999429,-1.6856801295075645,2.2253733441736223,2.0371487018837056,1.6694363776865877,18,28.0,115,109,0.5458830516686075
50,24,0.75,4,4,2.4,8,8,1.0,26.443656000000047,274,3.305457000000006,3.1896660000000576,1.489041999999996,-1.6354645210477667,1.9466998290240747,1.9568311437023813,1.4268516209297515,28,34.25,153,121,0.5453954436831552
50,24,0.8,4,3,2.0,8,8,1.0,23.6497300000001,228,2.9562162500000126,2.9691700000000654,0.9065200000000218,-1.4638005473201232,2.276455902276216,2.243721979896426,1.3680851063829678,19,28.5,113,115,0.5449136841325294
50,20,0.75,4,3,2.0,8,8,1.0,28.682940000000155,321,3.5853675000000194,3.6655000000000104,0.7098999999999744,-2.078646969658827,1.9900315733947003,2.0158517117879207,1.188483371300816,30,40.125,164,157,0.5442087036734742
50,28,0.8,4,3,2.2,8,8,1.0,25.473038000000024,252,3.184129750000003,3.418110000000052,0.7304699999999942,-1.656435807998684,2.130780703980808,2.2053718173256573,1.250129011965954,21,31.5,127,125,0.5437859091376853
