ema_period,lookback_bars,min_close_ratio,left_bars,right_bars,rr_target,total_periods,positive_periods,positive_ratio,total_return_sum,total_trades_sum,avg_quarter_return,median_quarter_return,min_quarter_return,max_quarter_drawdown_worst,avg_profit_factor,median_profit_factor,min_profit_factor,min_trades_per_period,avg_trades_per_period,long_trades_total,short_trades_total,plateau_score
50,28,0.8,4,3,2.4,8,8,1.0,27.452940000000048,252,3.431617500000006,3.663359000000066,1.6732499999999817,-1.6903894552958352,2.1889527013742027,2.277193562470064,1.671315411142319,21,31.5,127,125,0.570796829237924
60,28,0.8,4,3,2.2,8,8,1.0,28.08656000000036,248,3.510820000000045,3.1566650000000585,2.0786699999999714,-2.6655255632068586,2.210217368066601,2.1330213734898886,1.7052171965965055,20,31.0,124,124,0.5707165284511574
60,20,0.75,4,3,2.0,8,8,1.0,32.96416000000035,319,4.1205200000000435,4.109670000000076,0.8039600000000036,-2.1916056719114407,2.1578248729061764,2.1292933503329836,1.2054702794432552,31,39.875,157,162,0.5687676264634831
60,20,0.75,3,3,2.4,8,8,1.0,32.668714000000286,304,4.083589250000036,4.401204000000025,1.197073999999998,-2.326555131064614,2.108767262496282,2.219447389181772,1.304910099108751,29,38.0,150,154,0.5685096689338421
55,20,0.75,4,3,2.0,8,8,1.0,31.47793000000021,321,3.9347412500000263,4.119885000000023,1.3315399999999755,-1.8677581332545552,2.1127779150060815,2.0754857248292087,1.3455224848846448,31,40.125,160,161,0.5681632419794179
50,24,0.8,4,4,2.2,8,8,1.0,23.64965400000003,184,2.9562067500000038,2.896426000000052,1.0969559999999934,-1.1792432360719984,2.7300220813700116,2.806965655713195,1.5686361515732763,17,23.0,104,80,0.5670365364510718
55,20,0.8,4,4,2.2,8,8,1.0,25.62439600000017,217,3.2030495000000214,3.296180000000082,0.7865199999999906,-1.2681044172008171,2.454518450691732,2.378767023435061,1.3533428573995723,20,27.125,121,96,0.5666105997445661
55,20,0.75,4,3,2.4,8,8,1.0,31.788976000000257,320,3.973622000000032,4.397776000000009,1.632283999999995,-1.7899734643438105,2.005616666646275,2.0657617217264876,1.4010269614225987,31,40.0,159,161,0.5665807044674995
60,20,0.8,4,3,2.2,8,8,1.0,29.299918000000535,263,3.662489750000067,4.017757000000078,1.0387640000000475,-2.2430639444889877,2.209868023997098,2.2058019182561925,1.4206731489618434,21,32.875,128,135,0.5659796999358857
55,24,0.75,4,4,2.2,8,8,1.0,31.32221400000026,277,3.9152767500000323,4.249646000000062,0.04617000000002314,-1.6156769860710134,2.3137787950273228,2.532420981936924,1.013792176367793,27,34.625,154,123,0.5656205443757237
55,28,0.8,4,3,2.2,8,8,1.0,26.7802680000002,254,3.347533500000025,2.8591440000000135,2.241428000000001,-2.630886330130702,2.1644851008528088,2.0185644167014805,1.7452992930817728,20,31.75,126,128,0.5653078001152586
50,24,0.8,3,3,2.4,8,8,1.0,26.831376000000095,215,3.353922000000012,3.5895810000000528,1.533103999999974,-1.7129493851778879,2.55631238565546,2.5225971307056474,1.5088297378028468,17,26.875,108,107,0.5652217218689978
