rank,trial_id,score,k_period,d_period,smooth,oversold,overbought,left_bars,right_bars,min_separation,max_separation,ema_period,min_close_ratio,rr_target,total_trades,profit_factor,win_rate,expectancy_R,max_drawdown_pct,total_return,quarterly_positive_ratio,val_total_return,val_profit_factor,nocost_total_return,q_2024-Q1_return,q_2024-Q1_trades,q_2024-Q1_pf,q_2024-Q2_return,q_2024-Q2_trades,q_2024-Q2_pf,q_2024-Q3_return,q_2024-Q3_trades,q_2024-Q3_pf,q_2024-Q4_return,q_2024-Q4_trades,q_2024-Q4_pf,q_2025-Q1_return,q_2025-Q1_trades,q_2025-Q1_pf,q_2025-Q2_return,q_2025-Q2_trades,q_2025-Q2_pf
21,228,0.7127021696315441,21,5,3,20,79,6,5,15,32,84,0.5199570468688082,2.9178545347045524,150,2.9536582358696615,0.5333333333333333,0.9226653939723678,-1.9633933922749043,34.664617688659135,1.0,1.5839216457155691,1.6523350325012192,37.66461768865914,4.033201353350013,18,4.786936849994879,3.565450079956478,29,1.9565400463240188,3.1054973954208975,21,2.640117976103196,4.3803150129498425,31,1.869914175504066,11.750603346980926,32,5.0,3.924116509924769,19,3.1638533560314426
22,139,0.7117238658042784,8,5,3,12,81,6,5,9,26,45,0.7379096492696147,1.72649326573494,61,3.6355017640470684,0.7213114754098361,0.7859985889243978,-0.9751331792323845,9.946884402848921,1.0,2.092004734705366,3.67345431330635,11.16688440284892,1.2039027218674558,11,3.709417837393489,1.7667156052231459,8,5.0,1.9152324168240975,10,5.0,1.0731837226458207,9,2.362055899139244,1.8070523347783585,9,3.278918950400995,1.7951296512841886,14,2.406261938220637
23,207,0.7108522166289567,21,5,3,21,77,6,5,15,32,75,0.5998172452275989,3.021788164949715,135,2.7985285757443354,0.5259259259259259,0.9412672018925767,-1.9090621210054954,29.530796067148014,1.0,0.13236177158206797,1.0624030077045925,32.230796067148006,4.971022805882908,18,5.0,4.4092301658598565,30,2.205724334532168,3.465268582048875,21,2.8542423701633384,2.1121131679983307,24,1.4876543891584715,8.080938498321144,25,4.179728830985383,3.500810739794047,17,3.2874044794340294
24,245,0.7094764928264774,17,5,3,14,81,6,5,15,30,79,0.537550845393174,3.161387013869872,135,2.8910367674009017,0.5037037037037037,0.9222488214152785,-1.9583319946918827,30.09227609369487,1.0,2.8158697701592628,2.8598752783397843,32.79227609369488,4.2841967776472645,16,5.0,2.8926751702006204,25,2.0722802253009607,0.2597926605116596,21,1.1073667841398234,6.739998036960704,27,2.5937252468651275,9.798845047092408,27,5.0,3.180300497108246,19,2.6919493673766985
25,488,0.70883832491485,20,5,3,17,76,6,5,15,31,69,0.5081012668221567,3.2242133886344786,148,2.9019571947223697,0.5,0.9224575193915483,-2.166131773122172,32.98554853021043,1.0,1.1212514243755356,1.528622882859456,35.94554853021042,3.767790306963237,18,4.363647999788625,4.862049692810011,27,2.7786855384648126,2.1320898975649705,23,1.8997865555220592,2.9645615843449047,32,1.57826701432568,12.592120395997618,28,5.0,3.220402038013215,20,2.643020173674637
26,194,0.7086644312883952,20,5,3,18,79,6,5,15,30,78,0.5719077945284113,3.3195632863250024,128,2.836934602043889,0.484375,0.9289405371390842,-1.9774099925874307,31.197395120352134,1.0,0.7823556646379348,1.3340302645144995,33.757395120352115,2.594975397924304,13,3.3166320563534626,4.474175380902845,26,2.4948494759543394,2.22866759900342,19,2.0916599436997556,4.340571396512183,26,1.9047062360853695,10.655233614881144,26,4.861685294774362,3.7032335437566344,18,3.1367933772123084
27,461,0.707539368939459,21,5,3,18,79,6,5,15,32,73,0.5756932792724742,2.9982813875574132,134,2.7398922617220802,0.5298507462686567,0.9411415258939421,-1.9662836524712834,28.490579195395483,1.0,0.6836191728717855,1.322297684609622,31.170579195395497,4.281874662842822,19,5.0,3.1437957232103297,27,1.906647211048215,2.4528668760759764,21,2.215682472649451,2.1585119533490627,23,1.498779567680277,10.682715937046549,27,5.0,3.119516068042816,17,2.8707690489879107
28,258,0.7028579870681295,16,5,3,15,79,6,5,15,30,88,0.6897740656843888,3.2745443913392585,100,2.704042307576475,0.49,0.9262289119652994,-1.7021336500473165,22.16677875176243,1.0,1.7747613460224354,2.353374623308945,24.16677875176243,2.9176451334585574,12,3.9437265506977344,2.8280325303922105,23,2.0946629121190865,0.7784094793799934,17,1.4391578357283745,2.8237529592040955,16,1.8657869774385518,9.478736853236235,17,5.0,1.75623437715684,15,1.8686804745441103
29,307,0.699552067357195,13,5,3,19,82,5,5,15,33,74,0.5690633253891184,3.3173526143408445,162,2.558767088734467,0.49382716049382713,0.9478587543753663,-2.123985565356376,32.530300066571826,1.0,1.0492154842378865,1.4277117774879373,35.77030006657183,4.248441929442026,24,3.2604948997526098,3.7913640368737456,31,1.9331977929470328,2.5421503139432478,22,2.1462578061878244,4.127538348302773,34,1.7043752425174843,11.417740905986417,33,4.975239973377402,2.958455390583281,18,2.5023083105022628
30,150,0.694017128993528,9,5,2,10,80,5,5,13,26,74,0.5313088610358567,2.383581463063263,120,2.6562695395190143,0.625,0.8982812791061944,-1.3801219523801853,18.799305218661246,1.0,3.108152456093194,4.0790248807215415,21.199305218661223,3.0500793548435157,19,4.309260648862351,2.894966030212265,18,4.182352781436156,1.3905918823365448,16,2.1068589459576765,5.336111602658522,27,2.6736650676343925,3.6120840126163234,23,2.919588312570225,1.2479158146239122,17,1.5630490356004285
31,404,0.6937011129839733,20,5,3,14,74,5,5,15,31,72,0.594970758402154,3.2258335350335536,105,2.86245197979216,0.5142857142857142,0.980577873017052,-1.7102524295694996,23.217251882009826,0.8333333333333334,0.6982270855759198,1.5645478097137933,25.31725188200984,2.7593265528535804,14,4.373012435339191,2.848464713942356,19,2.4266595621867038,-0.09225268690975508,20,0.9609351135681954,3.6484557183372512,17,2.0863112721026176,9.999159586077377,19,5.0,2.353120158515054,16,2.2876732515805136
32,244,0.6918161199825633,21,5,3,16,80,6,5,15,30,81,0.5383363363671727,2.351634436061659,127,2.9852768850003883,0.5984251968503937,0.8416412991071787,-1.6566856666016108,26.24869568487189,1.0,2.3658758869422813,2.5934292091989057,28.78869568487188,2.805942364116043,13,5.0,4.411093695933133,24,3.3721022323359167,2.193881171902756,21,2.149738942491902,4.31446107836202,25,2.198991702318135,7.533867963990004,28,4.06028835454499,2.599999125211272,16,2.7604598232690165
