total_periods,positive_periods,positive_ratio,total_return_sum,avg_quarter_return,median_quarter_return,min_quarter_return,total_trades_sum,min_trades_per_period,avg_trades_per_period,avg_profit_factor,median_profit_factor,min_profit_factor,max_quarter_drawdown_worst,long_trades_total,short_trades_total,cost_mode,min_separation,max_separation,is_baseline_current,is_baseline_batch1,is_candidate_tpe,is_candidate_wide_simple,batch2b_score
8,5,0.625,13.23304399999995,1.6541304999999937,1.0207279999999819,-0.9309419999999569,238,22,29.75,1.628782601519973,1.3005389715749203,0.723238695484149,-3.009743770160185,136,102,cost,5,35,False,False,False,False,0.3699438740445635
8,5,0.625,13.23304399999995,1.6541304999999937,1.0207279999999819,-0.9309419999999569,238,22,29.75,1.628782601519973,1.3005389715749203,0.723238695484149,-3.009743770160185,136,102,cost,5,40,False,False,False,False,0.3699438740445635
8,5,0.625,13.23304399999995,1.6541304999999937,1.0207279999999819,-0.9309419999999569,238,22,29.75,1.628782601519973,1.3005389715749203,0.723238695484149,-3.009743770160185,136,102,cost,5,45,False,False,False,False,0.3699438740445635
8,5,0.625,13.23304399999995,1.6541304999999937,1.0207279999999819,-0.9309419999999569,238,22,29.75,1.628782601519973,1.3005389715749203,0.723238695484149,-3.009743770160185,136,102,cost,5,50,False,False,False,False,0.3699438740445635
8,4,0.5,9.56960400000003,1.1962005000000038,0.03730700000001419,-1.3888639999999675,219,21,27.375,1.536977984812043,1.019160274397815,0.5767091014930971,-2.7087154543071286,127,92,cost,6,25,False,False,False,False,0.32225970102879054
8,5,0.625,10.067997999999946,1.2584997499999933,0.043411999999976025,-1.172323999999969,235,21,29.375,1.5074708976430538,1.0127172278861027,0.6514778369057977,-3.009743770160185,135,100,cost,6,30,False,False,False,False,0.3491389320075835
8,5,0.625,13.23304399999995,1.6541304999999937,1.0207279999999819,-0.9309419999999569,238,22,29.75,1.628782601519973,1.3005389715749203,0.723238695484149,-3.009743770160185,136,102,cost,6,35,False,False,False,False,0.3699438740445635
8,5,0.625,13.23304399999995,1.6541304999999937,1.0207279999999819,-0.9309419999999569,238,22,29.75,1.628782601519973,1.3005389715749203,0.723238695484149,-3.009743770160185,136,102,cost,6,40,False,False,False,False,0.3699438740445635
8,5,0.625,13.23304399999995,1.6541304999999937,1.0207279999999819,-0.9309419999999569,238,22,29.75,1.628782601519973,1.3005389715749203,0.723238695484149,-3.009743770160185,136,102,cost,6,45,False,False,False,False,0.3699438740445635
8,5,0.625,13.23304399999995,1.6541304999999937,1.0207279999999819,-0.9309419999999569,238,22,29.75,1.628782601519973,1.3005389715749203,0.723238695484149,-3.009743770160185,136,102,cost,6,50,False,False,False,False,0.3699438740445635
8,5,0.625,9.001934000000022,1.1252417500000027,0.21530499999997676,-1.3304119999999808,199,20,24.875,1.5944671163577604,1.1208513670841378,0.5258063251391027,-2.7128292874572524,116,83,cost,7,25,False,False,False,False,0.3459487148861659
8,5,0.625,9.500327999999959,1.1875409999999949,0.25965899999998987,-1.1138719999999491,215,20,26.875,1.5631843912609757,1.1316461883530802,0.614339627867696,-3.014308285059583,124,91,cost,7,30,False,False,False,False,0.3482874932524585
8,6,0.75,12.665373999999973,1.5831717499999967,1.1174059999999875,-0.8724899999999591,218,21,27.25,1.6876406154015582,1.3924938053138964,0.6979142863078426,-3.014308285059583,125,93,cost,7,35,False,False,False,False,0.3947222132970936
8,6,0.75,12.665373999999973,1.5831717499999967,1.1174059999999875,-0.8724899999999591,218,21,27.25,1.6876406154015582,1.3924938053138964,0.6979142863078426,-3.014308285059583,125,93,cost,7,40,False,False,False,False,0.3947222132970936
