candidate_name,position_mode,risk_per_trade_pct,period,ending_equity,total_return,total_trades,win_rate,profit_factor,sharpe_ratio,max_drawdown_pct,avg_r,expectancy_r,avg_actual_risk_pct,max_actual_risk_pct,cap_hit_count,cap_hit_rate,total_fees,total_slippage_cost,cost_as_pct_of_gross_profit,long_trades,short_trades,long_pnl,short_pnl
pivot_wide_9_35,capped_3x,0.005,2025-Q3,100000.0,0.10387211280000752,30,0.5,1.4482649128136882,1.5418453808510184,-0.08575580093697413,0.6000000000000151,0.600000000000015,0.00012797206018139506,0.00035295091917187066,30,1.0,0.0,0.0,0.0,16,14,43.00992080000063,60.86219199999927
pivot_wide_9_35,capped_3x,0.005,2025-Q4,100000.0,0.2818862577999903,19,0.631578947368421,2.2833226383049294,2.4943551394897776,-0.15579619737428502,1.0210526315789492,1.0210526315789488,0.00023522105907096408,0.0006080281728621357,19,1.0,0.0,0.0,0.0,13,6,329.13105979999995,-47.244801999998
pivot_wide_9_35,capped_3x,0.005,2024-2025-Full,100000.0,1.4760606960001255,188,0.5053191489361702,1.6943060891180268,1.791548200997918,-0.3577648679004809,0.6170212765957477,0.6170212765957476,0.00019911518838863892,0.0012777053464784558,188,1.0,0.0,0.0,0.0,106,82,1056.7974956000016,419.26320040000155
pivot_wide_9_35,capped_5x,0.005,2024-Q1,100000.0,0.3168807745999702,26,0.3076923076923077,1.2355528305491812,0.6896538861397606,-0.9913158734533861,-0.015384615384611128,-0.015384615384611222,0.0008102028231218952,0.0035491490942030006,26,1.0,0.0,0.0,0.0,12,14,850.3199823999939,-533.4392078000014
pivot_wide_9_35,capped_5x,0.005,2024-Q2,100000.0,-0.029919301999992154,23,0.391304347826087,0.9616061910373248,-0.12074270923406542,-0.4545983461677518,0.2521739130434848,0.2521739130434846,0.0004876600697650143,0.001141957540365069,23,1.0,0.0,0.0,0.0,12,11,-159.7532049999926,129.83390300000548
pivot_wide_9_35,capped_5x,0.005,2024-Q3,100000.0,0.2700714489999978,18,0.5555555555555556,1.5423723248650743,1.4711747589105173,-0.2739398883806213,0.7777777777777756,0.7777777777777757,0.00047018989736657323,0.0014670114976290077,18,1.0,0.0,0.0,0.0,11,7,195.61662940000386,74.45481959999101
pivot_wide_9_35,capped_5x,0.005,2024-Q4,100000.0,1.165472896600006,22,0.6363636363636364,3.2232391537852325,4.328907116870353,-0.2065472715833988,1.036363636363633,1.036363636363633,0.0005834359691551265,0.0016436986754798117,22,1.0,0.0,0.0,0.0,14,8,840.4341887999892,325.03870780000403
pivot_wide_9_35,capped_5x,0.005,2025-Q1,100000.0,0.3007798916000226,26,0.5,1.2911771529920517,0.989631415048848,-0.5323189192740744,0.5999999999999971,0.599999999999997,0.0006288795831657218,0.00218004371052581,26,1.0,0.0,0.0,0.0,13,13,-252.86010619998797,553.6399977999929
pivot_wide_9_35,capped_5x,0.005,2025-Q2,100000.0,1.0094104582000218,23,0.6086956521739131,3.370291454653623,5.046728976782779,-0.16078842849820663,0.9478260869565228,0.9478260869565232,0.0004670846236938374,0.0011608991469636448,23,1.0,0.0,0.0,0.0,14,9,435.9643601999977,573.4460980000088
pivot_wide_9_35,capped_5x,0.005,2025-Q3,100000.0,0.288423401600002,30,0.5,1.4470917954879743,1.5420346571486407,-0.23817053354877504,0.6000000000000151,0.600000000000015,0.0003555900594937976,0.0009809205680850431,30,1.0,0.0,0.0,0.0,16,14,119.59557900000173,168.82782259999806
pivot_wide_9_35,capped_5x,0.005,2025-Q4,100000.0,0.7843068596000036,19,0.631578947368421,2.2807273965042847,2.4965805869103934,-0.43201240872271757,1.0210526315789494,1.021052631578949,0.0006535793155906151,0.0016904762788558308,19,1.0,0.0,0.0,0.0,13,6,916.4237635999998,-132.11690399999443
pivot_wide_9_35,capped_5x,0.005,2024-2025-Full,100000.0,4.147177561400062,188,0.5053191489361702,1.6957183843942525,1.7927878185027764,-0.9913158734533861,0.6170212765957477,0.6170212765957476,0.0005532600478981426,0.0035491490942030006,188,1.0,0.0,0.0,0.0,106,82,2963.4430776000045,1183.7344838000045
tpe_trial_490,capped_3x,0.005,2024-Q1,100000.0,0.8861997350274375,17,0.7647058823529411,10.16298547968749,8.375536419440781,-0.0640619644725783,2.1633653125599284,2.163365312559928,0.00024015944587001717,0.00048536247417974043,17,1.0,0.0,0.0,0.0,5,12,394.18738881541276,492.0123462120323
tpe_trial_490,capped_3x,0.005,2024-Q2,100000.0,0.6953236287782882,24,0.5416666666666666,3.221451795446719,4.771063874504899,-0.16104049859824654,1.240717096396621,1.240717096396621,0.00026340551928521176,0.0004435105294553583,24,1.0,0.0,0.0,0.0,9,15,280.54244808187633,414.7811806964457
tpe_trial_490,capped_3x,0.005,2024-Q3,100000.0,0.5664833527262214,22,0.4090909090909091,2.813569177993665,4.094913709153967,-0.23096094601942485,0.6922898350408077,0.6922898350408078,0.00026903984698776757,0.0010386472254477204,22,1.0,0.0,0.0,0.0,9,13,201.95783901691152,364.52551370934344
tpe_trial_490,capped_3x,0.005,2024-Q4,100000.0,0.5505308176478652,29,0.41379310344827586,2.0758258464075667,3.4954743847755942,-0.2045151769477379,0.7117414423401186,0.7117414423401183,0.0002927817377755741,0.0010453445772984483,29,1.0,0.0,0.0,0.0,17,12,238.92383549064215,311.6069821572374
tpe_trial_490,capped_3x,0.005,2025-Q1,100000.0,1.306813836512255,30,0.5666666666666667,5.629870063910375,7.565574501552475,-0.1462693335988076,1.3441348085379956,1.344134808537996,0.00026125633066015303,0.0008211667433401183,30,1.0,0.0,0.0,0.0,14,16,940.6310366512569,366.1827998610058
